elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,5,"T.W. SHANNON",REP,1,19,194,214,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,6,"ADAM HOLLEY",REP,0,0,4,4,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,7,"RANDY J GRELLNER",REP,0,3,42,45,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,8,"ALEX GRAY",REP,0,0,8,8,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,9,"PAUL ROYSE",REP,0,1,3,4,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,10,"LAURA MORENO",REP,0,1,27,28,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,11,"NATHAN DAHM",REP,3,21,122,146,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,12,"JESSICA JEAN GARRISON",REP,0,3,34,37,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,13,"MICHAEL COIBION",REP,1,2,9,12,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,8,8,1,"FRANK D. LUCAS",REP,14,69,599,682,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,8,8,2,"WADE BURLESON",REP,7,46,461,514,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,8,8,3,"STEPHEN BUTLER",REP,0,3,63,66,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11247,"FOR COUNTY TREASURER",REP,8,8,1,"KELSI CLAFLIN",REP,15,57,647,719,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11247,"FOR COUNTY TREASURER",REP,8,8,2,"SHANA WELLS",REP,2,7,126,135,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11247,"FOR COUNTY TREASURER",REP,8,8,3,"DONNA IRVIN",REP,4,55,344,403,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11324,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",REP,3,3,1,"GARRET JOHNSON",REP,8,16,214,238,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11324,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",REP,3,3,2,"TYLER MEAD",REP,2,13,60,75,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11324,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",REP,3,3,3,"CHUCK GREEN",REP,0,3,16,19,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11324,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",REP,3,3,4,"JAY HAGUE",REP,1,12,91,104,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11401,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",REP,3,3,1,"RON NICKEL",REP,0,7,60,67,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11401,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",REP,3,3,2,"NATE ROSS",REP,3,17,254,274,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",11401,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",REP,3,3,3,"ALTON JACKSON",REP,3,1,85,89,ALFALFA
6/28/2022,"ALFALFA","ALFALFA COUNTY",13001,"FOR GOVERNOR",DEM,8,8,1,"CONNIE JOHNSON",DEM,6,1,48,55,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",13001,"FOR GOVERNOR",DEM,8,8,2,"JOY HOFMEISTER",DEM,5,3,87,95,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,8,8,1,"JASON BOLLINGER",DEM,3,0,22,25,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,8,8,2,"BRANDON WADE",DEM,4,1,29,34,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,8,8,3,"MADISON HORN",DEM,0,1,37,38,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,8,8,4,"ARYA AZMA",DEM,1,1,3,5,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,8,8,5,"JO GLENN",DEM,1,0,13,14,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,8,8,6,"DENNIS L. BAKER",DEM,1,0,26,27,,
6/28/2022,"ATOKA","ATOKA COUNTY",11001,"FOR GOVERNOR",REP,13,13,1,"MOIRA McCABE",REP,0,3,20,23,,
6/28/2022,"ATOKA","ATOKA COUNTY",11001,"FOR GOVERNOR",REP,13,13,2,"JOEL KINTSEL",REP,3,22,131,156,,
6/28/2022,"ATOKA","ATOKA COUNTY",11001,"FOR GOVERNOR",REP,13,13,3,"KEVIN STITT",REP,5,90,583,678,,
6/28/2022,"ATOKA","ATOKA COUNTY",11001,"FOR GOVERNOR",REP,13,13,4,"MARK SHERWOOD",REP,2,17,130,149,,
6/28/2022,"ATOKA","ATOKA COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,13,13,1,"STEVEN W. McQUILLEN",REP,3,29,225,257,,
6/28/2022,"ATOKA","ATOKA COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,13,13,2,"CINDY BYRD",REP,7,102,612,721,,
6/28/2022,"ATOKA","ATOKA COUNTY",11004,"FOR ATTORNEY GENERAL",REP,13,13,1,"GENTNER F. DRUMMOND",REP,7,80,535,622,,
6/28/2022,"ATOKA","ATOKA COUNTY",11004,"FOR ATTORNEY GENERAL",REP,13,13,2,"JOHN M. O'CONNOR",REP,2,45,307,354,,
6/28/2022,"ATOKA","ATOKA COUNTY",11005,"FOR STATE TREASURER",REP,13,13,1,"DAVID B. HOOTEN",REP,1,21,196,218,,
6/28/2022,"ATOKA","ATOKA COUNTY",11005,"FOR STATE TREASURER",REP,13,13,2,"CLARK JOLLEY",REP,6,25,165,196,,
6/28/2022,"ATOKA","ATOKA COUNTY",11005,"FOR STATE TREASURER",REP,13,13,3,"TODD RUSS",REP,2,73,419,494,,
6/28/2022,"ATOKA","ATOKA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,13,13,1,"JOHN COX",REP,5,40,257,302,,
6/28/2022,"ATOKA","ATOKA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,13,13,2,"WILLIAM E. CROZIER",REP,0,3,21,24,,
6/28/2022,"ATOKA","ATOKA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,13,13,3,"APRIL GRACE",REP,1,26,204,231,,
6/28/2022,"ATOKA","ATOKA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,13,13,4,"RYAN WALTERS",REP,4,52,339,395,,
6/28/2022,"ATOKA","ATOKA COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,13,13,1,"KEITH SWINTON",REP,2,22,144,168,,
6/28/2022,"ATOKA","ATOKA COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,13,13,2,"SEAN ROBERTS",REP,1,54,340,395,,
6/28/2022,"ATOKA","ATOKA COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,13,13,3,"LESLIE KATHRYN OSBORN",REP,7,47,312,366,,
6/28/2022,"ATOKA","ATOKA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,13,13,1,"HAROLD D SPRADLING",REP,4,21,140,165,,
6/28/2022,"ATOKA","ATOKA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,13,13,2,"JUSTIN HORNBACK",REP,0,20,187,207,,
6/28/2022,"ATOKA","ATOKA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,13,13,3,"TODD THOMSEN",REP,1,40,237,278,,
6/28/2022,"ATOKA","ATOKA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,13,13,4,"KIM DAVID",REP,4,39,222,265,,
6/28/2022,"ATOKA","ATOKA COUNTY",11010,"FOR UNITED STATES SENATOR",REP,13,13,1,"JACKSON LAHMEYER",REP,3,21,166,190,,
6/28/2022,"ATOKA","ATOKA COUNTY",11010,"FOR UNITED STATES SENATOR",REP,13,13,2,"JAMES LANKFORD",REP,7,104,630,741,,
6/28/2022,"ATOKA","ATOKA COUNTY",11010,"FOR UNITED STATES SENATOR",REP,13,13,3,"JOAN FARR",REP,0,5,63,68,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,1,"LUKE HOLLAND",REP,0,3,23,26,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,2,"MARKWAYNE MULLIN",REP,8,97,671,776,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,3,"JOHN F. TOMPKINS",REP,0,1,6,7,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,4,"SCOTT PRUITT",REP,0,5,24,29,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,5,"T.W. SHANNON",REP,0,18,48,66,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,6,"ADAM HOLLEY",REP,0,0,10,10,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,7,"RANDY J GRELLNER",REP,0,0,9,9,,
6/28/2022,"ATOKA","ATOKA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,13,13,8,"ALEX GRAY",REP,1,0,1,2,,
